url,category,poster,title,rating,duration,year,genre,language,synopsis,director,cast
https://www.visionplus.id/movies/1373/my-poppy-is-tukang-roti,Rom-Com,https://static.mncnow.id/images/vod/b5d42474/2a9d_r32.jpg,Kutunggu Kau di Salon Cinta,R,1h 0m,2021,Drama,"English, Bahasa",Kutunggu Kau di Salon Cinta,Other,Vanessa Angel
https://www.visionplus.id/movies/38961/nano-si-nanny,Rom-Com,https://static.mncnow.id/images/vod/bbb9b596/7758_r32.jpg,Nano Si Nanny,R,1h 0m,2015,Drama,"English, Bahasa",Nano Si Nanny,Other,"Jessica Iskandar, Tora Sudiro"
https://www.visionplus.id/movies/1405/ngojek-demi-cinta,Rom-Com,https://static.mncnow.id/images/vod/b8bb17dc/4019_r32.jpeg,Nano Si Nanny,R,1h 0m,2015,Drama,"English, Bahasa",Nano Si Nanny,Other,"Jessica Iskandar, Tora Sudiro"
https://www.visionplus.id/movies/38230/pacarin-camat,Rom-Com,https://static.mncnow.id/images/vod/e42d50f6/ed18_r32.jpg,Pacarin Camat,R,1h 0m,2021,Drama,"English, Bahasa",Pacarin Camat,Other,Vino G Bastian
https://www.visionplus.id/movies/33733/pelatih-yoga-tebar-cinta,Rom-Com,https://static.mncnow.id/images/vod/57b3afac/a37b_r32.jpg,Pacarin Camat,R,1h 0m,2021,Drama,"English, Bahasa",Pacarin Camat,Other,Vino G Bastian
https://www.visionplus.id/movies/33742/pemadam-api-cinta,Rom-Com,https://static.mncnow.id/images/vod/28468540/fb54_r32.jpg,Pemadam Api Cinta,D,1h 0m,2018,Drama,"English, Bahasa","Mimin sangat terobsesi untuk menjadi petugas pemadam kebakaran, setiap ia melihat petugas pemadam kebakaran itu sangat terobsesi. Orangtuanya berniat menjodohkan Mimin dengan anak temannya, tapi Mimin menolak dengan keras. Mimin sampai menutup identitasnya sebagai perempuan dan menyamar menjadi laki-laki agar bisa diterima menjadi petugas pemadam kebakaran.",Other,"Kadek Devie, Kris Hatta, Dony Alamsyah"
https://www.visionplus.id/movies/31015/sopir-eneng-dunia-akhirat,Rom-Com,https://static.mncnow.id/images/vod/dcdbaa5f/3456_r32.jpg,Pemadam Api Cinta,D,1h 0m,2018,Drama,"English, Bahasa","Mimin sangat terobsesi untuk menjadi petugas pemadam kebakaran, setiap ia melihat petugas pemadam kebakaran itu sangat terobsesi. Orangtuanya berniat menjodohkan Mimin dengan anak temannya, tapi Mimin menolak dengan keras. Mimin sampai menutup identitasnya sebagai perempuan dan menyamar menjadi laki-laki agar bisa diterima menjadi petugas pemadam kebakaran.",Other,"Kadek Devie, Kris Hatta, Dony Alamsyah"
https://www.visionplus.id/movies/29143/tanpamu-aku-bagaikan-ambulan-tanpa-uwiw-uwiw,Rom-Com,https://static.mncnow.id/images/vod/16324fac/3203_r32.jpg,Tanpamu Aku Bagaikan Ambulan Tanpa Uwiw Uwiw,R,1h 0m,2012,Drama,"English, Bahasa",Tanpamu Aku Bagaikan Ambulan Tanpa Uwiw Uwiw.,Other,Indra Birowo
https://www.visionplus.id/movies/29116/terima-tambal-cinta,Rom-Com,https://static.mncnow.id/images/vod/9c242db2/caa1_r32.jpg,Tanpamu Aku Bagaikan Ambulan Tanpa Uwiw Uwiw,R,1h 0m,2012,Drama,"English, Bahasa",Tanpamu Aku Bagaikan Ambulan Tanpa Uwiw Uwiw.,Other,Indra Birowo
https://www.visionplus.id/movies/519/tukang-koran-jatuh-cinta,Rom-Com,https://static.mncnow.id/images/vod/e80af631/3b0e_r32.jpg,Tukang Koran Jatuh Cinta,R,1h 17m,2011,Drama,"English, Bahasa","Insiden kecil terjadi antara tukang koran yang cantik dan pria kaya raya tentu membuat mereka merasa saling kesal. Tetapi setelah mereka bertemu untuk kesekian kalinya tanpa disengaja, ternyata rasa kesal mereka perlahan hilang. Apakah yang akan terjadi selanjutnya?",Arnandha Wyanto,Niken Anjani
https://www.visionplus.id/movies/31915/sang-bodyguard-sexy,Rom-Com,https://static.mncnow.id/images/vod/26fccbb8/63ac_r32.jpg,Tukang Koran Jatuh Cinta,R,1h 17m,2011,Drama,"English, Bahasa","Insiden kecil terjadi antara tukang koran yang cantik dan pria kaya raya tentu membuat mereka merasa saling kesal. Tetapi setelah mereka bertemu untuk kesekian kalinya tanpa disengaja, ternyata rasa kesal mereka perlahan hilang. Apakah yang akan terjadi selanjutnya?",Arnandha Wyanto,Niken Anjani
https://www.visionplus.id/movies/1542/teropong-cinta-untuk-indah,FTV Cinlok,https://static.mncnow.id/images/vod/bd8342ea/38df_r32.jpg,Teropong Cinta Untuk Indah,R,1h 15m,2011,Drama,"English, Bahasa",Indah dan Shendy awalnya bertemu di sebuah mini market. Secara tidak sengaja mereka bertemu lagi di sebuah travel dan handphone mereka tertukar. Mereka memiliki pacar yang ternyata adalah mantan pacar kekasihnya mereka.,Gita Dirgahayu,"Ryan Delon, Sharena, Ayu Ting Ting, Poppy Bunga"
https://www.visionplus.id/movies/520/tuan-narsis-over-dosis,FTV Cinlok,https://static.mncnow.id/images/vod/802bbf7e/bcae_r32.jpg,Teropong Cinta Untuk Indah,R,1h 15m,2011,Drama,"English, Bahasa",Indah dan Shendy awalnya bertemu di sebuah mini market. Secara tidak sengaja mereka bertemu lagi di sebuah travel dan handphone mereka tertukar. Mereka memiliki pacar yang ternyata adalah mantan pacar kekasihnya mereka.,Gita Dirgahayu,"Ryan Delon, Sharena, Ayu Ting Ting, Poppy Bunga"
https://www.visionplus.id/movies/482/ubi-habis-cintapun-datang,FTV Cinlok,https://static.mncnow.id/images/vod/6d64fc7d/1144_r32.jpg,Ubi Habis Cintapun Datang,R,1h 17m,2013,Drama,"English, Bahasa",FTV Unggulan Persembahan MNC,Ivan Bandhito,"Ryan Delon, Shareena, Fajar Gomez"
https://www.visionplus.id/movies/537/mama-dedeh-vs-papa-dadah,FTV Cinlok,https://static.mncnow.id/images/vod/be336fbd/e932_r32.jpg,Ubi Habis Cintapun Datang,R,1h 17m,2013,Drama,"English, Bahasa",FTV Unggulan Persembahan MNC,Ivan Bandhito,"Ryan Delon, Shareena, Fajar Gomez"
https://www.visionplus.id/movies/543/me-vs-mami-3,FTV Cinlok,https://static.mncnow.id/images/vod/50fe514c/5049_r32.jpg,Me VS Mami 3,R,1h 18m,2014,Drama,"English, Bahasa",Persaingan antara anak dan ibu masih terus berlanjut. Kali ini apalagi yang akan mereka perebutkan ?,Joe Sandjaya,"Ryan Delon, Shareena"
https://www.visionplus.id/movies/17269/istriku-ngidam-ayu-ting-ting,FTV Cinlok,https://static.mncnow.id/images/vod/54142895/9b96_r32.jpg,Me VS Mami 3,R,1h 18m,2014,Drama,"English, Bahasa",Persaingan antara anak dan ibu masih terus berlanjut. Kali ini apalagi yang akan mereka perebutkan ?,Joe Sandjaya,"Ryan Delon, Shareena"
https://www.visionplus.id/movies/1537/mr-miki-miss-mini,FTV Cinlok,https://static.mncnow.id/images/vod/02a1e780/be1a_r32.jpg,Mr. Miki & Miss Mini,R,1h 18m,2015,Drama,"English, Bahasa",FTV Unggulan persembahan MNC.,Joe Sandjaya,"Rista Ferina, Ryan Delon, Sharena, Christian Loho, Fernando Surya"
https://www.visionplus.id/movies/17317/masih-me-vs-mami,FTV Cinlok,https://static.mncnow.id/images/vod/ddef1f89/1336_r32.jpg,Mr. Miki & Miss Mini,R,1h 18m,2015,Drama,"English, Bahasa",FTV Unggulan persembahan MNC.,Joe Sandjaya,"Rista Ferina, Ryan Delon, Sharena, Christian Loho, Fernando Surya"
https://www.visionplus.id/movies/17265/cinta-tanpa-pamrih,FTV Cinlok,https://static.mncnow.id/images/vod/5cda099f/2b6c_r32.jpg,Cinta Tanpa Pamrih,D,1h 0m,2015,Drama,"English, Bahasa","Kebahagiaan Tasya berubah menjadi duka saat mengetahui bahwa Galih calon suaminya meninggal dunia. Riki, sahabat Galih sejak kecil hadir untuk memberi kebahagiaan bagi Tasya dan akhirnya mereka memutuskan untuk serius namun dibalik kehadiran Riki ternyata ada persekongkolan antara Riki dan Galih untuk membuat Tasya bahagia.",Other,Ryan Delon
https://www.visionplus.id/movies/29179/superstar-ndeso,FTV Cinlok,https://static.mncnow.id/images/vod/c9ce3d6f/25aa_r32.jpg,Cinta Tanpa Pamrih,D,1h 0m,2015,Drama,"English, Bahasa","Kebahagiaan Tasya berubah menjadi duka saat mengetahui bahwa Galih calon suaminya meninggal dunia. Riki, sahabat Galih sejak kecil hadir untuk memberi kebahagiaan bagi Tasya dan akhirnya mereka memutuskan untuk serius namun dibalik kehadiran Riki ternyata ada persekongkolan antara Riki dan Galih untuk membuat Tasya bahagia.",Other,Ryan Delon
https://www.visionplus.id/movies/33904/rama-untuk-shinta,FTV Cinlok,https://static.mncnow.id/images/vod/7df15f7c/5b28_r32.jpg,Rama Untuk Shinta,R,1h 0m,2018,Drama,"English, Bahasa",Bagaimana kisah perjalanan cinta Rama dan Shinta ?,Other,"Ryan Delon, Shareena"
https://www.visionplus.id/movies/5289/tuhan-memberiku-kesempatan,FTV Religi,https://static.mncnow.id/images/vod/38eb56cb/ef4f_r32.jpg,Rama Untuk Shinta,R,1h 0m,2018,Drama,"English, Bahasa",Bagaimana kisah perjalanan cinta Rama dan Shinta ?,Other,"Ryan Delon, Shareena"
https://www.visionplus.id/movies/5281/cinta-yang-hilang,FTV Religi,https://static.mncnow.id/images/vod/c9cacdb1/db09_r32.jpg,Cinta yang Hilang,R,0h 46m,2007,Drama,"English, Bahasa",Erick seorang atlet tenis menikah dengan Alin. Karena Alin sibuk maka sampai setengah tahun pernikahan mereka belum diberikan seorang anak. Dan karena kesalahpahaman Erick mengusir istrinya kerena tidak mau mengikuti perkataannya.,Emil G Hampp,"Mark Peter, Cintia Hermawan"
https://www.visionplus.id/movies/451/sehabis-sholat-ied,FTV Religi,https://static.mncnow.id/images/vod/218b2f2b/6c97_r32.jpg,Cinta yang Hilang,R,0h 46m,2007,Drama,"English, Bahasa",Erick seorang atlet tenis menikah dengan Alin. Karena Alin sibuk maka sampai setengah tahun pernikahan mereka belum diberikan seorang anak. Dan karena kesalahpahaman Erick mengusir istrinya kerena tidak mau mengikuti perkataannya.,Emil G Hampp,"Mark Peter, Cintia Hermawan"
https://www.visionplus.id/movies/1197/haji-jiong,FTV Religi,https://static.mncnow.id/images/vod/56dc581b/e1e4_r32.jpg,Haji Jiong,R,1h 3m,2012,Drama,"English, Bahasa",Dimulai dari Komar dan Yuyun yang memiliki niatan jahat untuk menggulung tikar warung makan saingannya miliki Yusuf dan Leha demi mendapatkan gelar Haji.,Latif Raden,"Hengky Kurniawan, Turaekhan Roy, Sasha Handoko"
https://www.visionplus.id/movies/661/aku-bukan-anak-pembawa-sial,FTV Religi,https://static.mncnow.id/images/vod/608f3dd4/8b4e_r32.jpg,Haji Jiong,R,1h 3m,2012,Drama,"English, Bahasa",Dimulai dari Komar dan Yuyun yang memiliki niatan jahat untuk menggulung tikar warung makan saingannya miliki Yusuf dan Leha demi mendapatkan gelar Haji.,Latif Raden,"Hengky Kurniawan, Turaekhan Roy, Sasha Handoko"
