tenant_page_url,tenant_logo_url,category,subcategory,tenant_name,tenant_photo_url,buildings,floors,products,where_to_park,pickup_point_stripped,takeaway,contact_phone_stripped,catalogue,whatsapp_chat,go_food,grab_food,shopee_food
https://www.malkelapagading.com/directory/hokkaido-baked-cheese-tart,http://images.malkelapagading.com/tenant/Hokkaido-Baked-Cheese-Tartlogo.jpg,Dining,F & B Delivery,Hokkaido Baked Cheese Tart,http://images.malkelapagading.com/tenant/Hokkaido-Baked-Cheese-Tartfoto.jpg,['MKG-3'],['Lantai Dasar GK-09'],"Original Cheese Tart, Dark Chocolate Tart, Matcha Red Bean Tart, Blueberry Cheese Tart",Gedung Parkir 3 & 5,Atrium MKG 3,,02145853658,,available,available,available,
https://www.malkelapagading.com/directory/home-made,http://images.malkelapagading.com/tenant/Home-Madelogo.jpg,Dining,F & B Delivery,Home Made Bakery,http://images.malkelapagading.com/tenant/Home-Made-DCrepesfoto.jpg,['MKG-1'],['Lantai Dasar 185A'],"Roti, Bolu, Pastry, Pizza, Cake, Crepes, Kue Kering","Gedung Parkir 2 Basement P1/P1A, Parkir L6/L5",,allowed,0214529708,,available,,,
https://www.malkelapagading.com/directory/hong-kong-sheng-kee-dessert,http://images.malkelapagading.com/tenant/Hong-Kong-Sheng-Kee-Dessertlogo.jpg,Dining,F & B Delivery,Hong Kong Sheng Kee Dessert,http://images.malkelapagading.com/tenant/Hong-Kong-Sheng-Kee-Dessertfoto.jpg,['MKG-2'],['Lantai Dasar 124 & 126'],"Porridge, noodle, rice, dimsum, dessert",Gedung Parkir 2 Basement P1/P1A,,allowed,02145853776,available,available,available,available,
https://www.malkelapagading.com/directory/hong-tang,http://images.malkelapagading.com/tenant/Hong-Tanglogo1.jpg,Dining,Food & Beverages,Hong Tang,http://images.malkelapagading.com/tenant/Hong-Tangfoto.jpg,['MKG-3'],['Lantai 3 TW-02'],Dessert bowl,Gedung Parkir 3,,,083897962605,,,,,
https://www.malkelapagading.com/directory/hoops,http://images.malkelapagading.com/tenant/HOOPS-Indonesialogo-3.jpg,Shopping,Shop From Home,HOOPS Indonesia,http://images.malkelapagading.com/tenant/HOOPS-Indonesiafoto-29.jpg,['MKG-2'],['Lantai 1 218-220'],"Indonesia First & Biggest OFFICIAL Basketball Store : NIKE, JORDAN, ADIDAS, PUMA",Gedung Parkir 2 Lantai 1,,,0811220187,available,available,,,
https://www.malkelapagading.com/directory/hop-hop-bubble-drink-8738,http://images.malkelapagading.com/tenant/Hop-Hop-Bubble-Drinklogo-100.jpg,Dining,F & B Delivery,Hop Hop Bubble Drink,http://images.malkelapagading.com/tenant/Hop-Hop-Bubble-Drinkfoto.jpg,['MKG-3'],['Lantai 3 K 12'],Bubble drink,Gedung Parkir 3,,,,,,available,available,
https://www.malkelapagading.com/directory/hop-hop-bubble-drink,http://images.malkelapagading.com/tenant/Hop-Hop-Bubble-Drinklogo-17.jpg,Dining,F & B Delivery,Hop Hop Bubble Drink,http://images.malkelapagading.com/tenant/Hop-Hopfoto.jpg,['MKG-2'],['Lantai 2 K-306'],Bubble drink,Gedung Parkir2,,,02145844120,,,available,available,
https://www.malkelapagading.com/directory/hot-star-chicken,http://images.malkelapagading.com/tenant/Hot-Star-Chickenlogo.jpg,Dining,F & B Delivery,Hot Star Chicken,http://images.malkelapagading.com/tenant/Hot-Star-Chickenfoto.jpg,['Gading Walk'],['Lantai Dasar I 03'],"Taiwanese Large Crispy, Fried Chicken",Gedung Parkir 2 Basement P1/P1A,,allowed,,,,available,,
https://www.malkelapagading.com/directory/hoy-tod,http://images.malkelapagading.com/tenant/Hoy-Todlogo-87.jpg,Dining,Food & Beverages,Hoy Tod,http://images.malkelapagading.com/tenant/Hoy-Todfoto-17.jpg,['MKG-3'],['Lantai 3 FCL-07'],Seafood Omelette Since 1988,,,,083841321407,,available,,available,available
https://www.malkelapagading.com/directory/huawei,http://images.malkelapagading.com/tenant/HUAWEIlogo-10.jpg,Shopping,"Electronics, IT, Gadgets",HUAWEI,http://images.malkelapagading.com/tenant/HUAWEIfoto-14.jpg,['MKG-3'],['Lantai Dasar 35'],"Huawei smartphone, gadget & accessories",Gedung Parkir 2/3 Basement,,,,,,,,
https://www.malkelapagading.com/directory/hush-puppies,http://images.malkelapagading.com/tenant/Hush-Puppieslogo.jpg,Shopping,Bags & Shoes,Hush Puppies,http://images.malkelapagading.com/tenant/Hush-Puppiesfoto-24.jpg,['MKG-3'],['Lantai 1 11'],"Pakaian, tas, sepatu untuk pria & wanita",Gedung Parkir 3,,,02145853881,available,available,,,
https://www.malkelapagading.com/directory/ibox,http://images.malkelapagading.com/tenant/iBoxlogo.jpg,Shopping,"Electronics, IT, Gadgets",iBox,http://images.malkelapagading.com/tenant/iBoxfoto.jpg,['MKG-3'],['Lantai Dasar 10-11'],"iPhone, iPad, iMac, MacBook, Cases, Earphone, Headphone, Cable, Apple Accessories",Gedung Parkir 3 Basement P1/P1A,,,081290777722,,available,,,
https://www.malkelapagading.com/directory/ikkudo-ichi,http://images.malkelapagading.com/tenant/Ikkudo-Ichilogo1.jpg,Dining,Food & Beverages,Ikkudo Ichi,http://images.malkelapagading.com/tenant/Ikkudo-Ichifoto1.jpg,['MKG-3'],['Lantai 3 TW-03'],"Ramen, Rice Bowl, Gyoza, Curry",Gedung Parkir 2 Lt. 3 P3/P3A,,,02145878157,,,,,
